Matrix Size;Threads;Taskbag Time (ms);OpenMP Time (ms);Speedup Taskbag;Speedup OpenMP;Efficiency Taskbag;Efficiency OpenMP
100;2;2.67106;0.37026;0.154658;1.1157;0.0773289;0.557851
100;4;2.13534;0.3384;0.193459;1.22074;0.0483647;0.305186
100;8;2.37914;0.45468;0.173634;0.908551;0.0217043;0.113569
200;2;8.86392;2.41262;0.510102;1.8741;0.255051;0.937052
200;4;5.9069;1.86876;0.765461;2.41952;0.191365;0.60488
200;8;5.49144;2.01866;0.823372;2.23985;0.102922;0.279982
500;2;149.092;56.9153;0.61288;1.60547;0.30644;0.802733
500;4;81.7536;31.4942;1.1177;2.90135;0.279424;0.725338
500;8;60.8385;24.9238;1.50194;3.6662;0.187742;0.458275
800;2;562.323;191.474;0.685646;2.01362;0.342823;1.00681
800;4;283.879;96.2084;1.35816;4.0075;0.339541;1.00187
800;8;208.08;84.8478;1.85292;4.54408;0.231615;0.568009
1000;2;1190.11;368.822;0.743952;2.40057;0.371976;1.20029
1000;4;578.749;184.387;1.52982;4.80178;0.382456;1.20044
1000;8;409.733;165.188;2.16088;5.35987;0.27011;0.669984
